Id,Status,Pole Class,Borough,X Coord.,Y Coord.,Latitude,Longitude,Zipcode
21744,Approved,CITY,Bronx,1007819,244950,40.8389749,-73.914822,10452
21743,Approved,CITY,Bronx,1003893,243320,40.8345107,-73.9290152,10452
21740,Approved,CITY,Bronx,1012355,242522,40.8322975,-73.8984391,10456
21739,Approved,CITY,Manhattan,1002000,232449,40.8046768,-73.9358848,10035
21738,Approved,CITY,Manhattan,999175,231102,40.8009849,-73.946092,10035
21737,Approved,CITY,Bronx,1017356,256914,40.8717819,-73.8802963,10467
21736,Approved,CITY,Manhattan,1000186,228707,40.7944095,-73.9424461,10029
21735,Proposed,CITY,Bronx,1016448,258499,40.8761356,-73.8835718,10458
21734,Approved,CITY,Bronx,1015703,259251,40.8782023,-73.8862622,10468
21733,Approved,CITY,Bronx,1015797,259853,40.8798543,-73.8859195,10468
